What is a program that is invoked by a URL and returns a response to the web client, via HTTP?;Web Service;1;Web Services
What is a style of software design where services are provided to the other components by application components over a network?;SOA;1;Web Services
What are modern interpretation of service-oriented architectures used to build distributed software systems?;Microservices;1;Web Services
What is a discrete unit of functionality that can be accessed remotely and acted upon and updated independently?;Service;1;Web Services
What do you call the owner of the Web Service?;Service Provider;1;Web Services
What do you call the consumer of the service?;Client;1;Web Services
What do you call the physical implementation of the service?;Service Implementation;1;Web Services
What is referred to a piece of code that converts parameters passed between client and server during a service call?;Stub;1;Web Services
What is the layer responsible for transporting messages between the client and the server?;Service Transport;1;Web Services
Where does the service provider publish or find the service and its description?;Service Registry;1;Web Services
What is the process of finding and locating a particular service?;Service Discovery;1;Web Services
Name the operation consisting of firstly describing the web service itself then registering the web service.;Publishing;1;Web Services
Name the operation firstly discovering the services in the registry and then selecting the desired web service(s) from the search results;Finding;1;Web Services
Name the the final operation in the Web services architecture.;Invocation;1;Web Services
In service-oriented architecture, what do services use to describe both the functional characteristics of the service, like passing and parsing messages?;Metadata;1;Web Services
How do you call components that are weakly associated with each other, thus changes in one component least affect existence or performance of the other component?;Loosely Coupled;1;Web Services
What is a disadvantage of loosely coupled components?;Consistency;1;Web Services
True | False, can web services be consumed both synchronously and asynchronously?;True;1;Web Services
What contains the details of the interface and implementation of the service?;Service Definition;1;Web Services
What is referred to the process of the execution of the service and returning the result to the client?;Service Processing;1;Web Services
Name the protocol acting as conversation between the client and the server and the TCP/IP network model.;HTTP;1;Web Services
What is an enterprise application sees both requests and sessions from two angles?;Web Server;1;Web Services
What are used to pass additional information between the client and the server?;Headers;1;Web Services
What is a set of rules that define how a web service is accessed?;Service Contract;1;Web Services
Whose job is it to connect two pieces of software without limiting their own functionalities?;API;1;Web Services
What is the application that is looking for and invoking or initiating an interaction with a service?;Service Requestor;1;Web Services
What includes the design, deployment, and runtime requirements for each of the roles: service registry, service provider, and service discovery agency?;Development Lifecycle;1;Web Services
Which phase of the development lifecycle includes development and testing of the web service implementation?;Build;1;Web Services
Which phase includes the publication of the service interface and service implementation definition to a requestor or registry and installation?;Deploy;1;Web Services
Where do you typically deploy your web service?;Web Server;1;Web Services
Which phase is it when your web service is fully deployed, operational, and network accessible from the service provider?;Run;1;Web Services
Which phase of the lifecycle covers ongoing management and administration of the web service?;Manage;1;Web Services
What language is used to display data and focuses on how data looks?;HTML;2;Web Services
What provides a framework to define markup languages?;XML;2;Web Services
What indicates that a certain portion of the document is general character data, rather than non-character data or character data with a more specific, limited structure?;CDATA;2;Web Services
What is declared using the reserved XML attribute xmlns or xmlns:prefix and are used to provide a method to avoid element name conflicts?;Namespaces;2;Web Services
What is a description of a type of XML document, typically expressed in terms of constraints on the structure and content of documents of that type, above and beyond the basic syntactical constraints imposed by XML itself?;XML Schema;2;Web Services
What uses path expressions to select nodes or node-sets in an XML document?;xpath;2;Web Services
What can respond to any type of request, but are commonly used to extend the applications hosted by web servers?;Servlets;2;Web Services
What is the part of a URL that assigns values to specified parameters?;Query String;2;Web Services
True | False, XML is not case sensitive.;False;2;Web Services
True | False, XML preserves whitespace while HTML does not.;True;2;Web Services
What is a type of computer software that provides services to software applications beyond those available from the operating system. It can be described as "software glue"?;Middleware;2;Web Services
Name what can arbitrarily instantiate many instances of a servlet, although the number is typically small (e.g., 1 through 4).;Web Server;2;Web Services
Which Java class includes the methods by which the servlet developer must implement?;HttpServlet;2;Web Services
What is an architectural style that standardizes stateless HTTP communication in client-server relationships?;REST;3;Web Services
What refers to the ability of software to easily integrate with other systems in terms of sharing functionality and data?;interoperability;3;Web Services
Which RESTful constraint says the client and the server stay separate and independent?;Client-Server Architecture;3;Web Services
What is the RESTful constraint saying that an API has to handle calls independently of each other.;Statelessness;3;Web Services
What simplifies and decouples the architecture, which enables each part to evolve independently?;Uniform Interface;3;Web Services
