Grade,Number of Questions,Course,File Name
100,7,Web Services,2022-10-19T16:55:04.235837.json
80,5,Web Services,2022-10-19T16:54:19.073993.json
70,10,Data Structures and Algorithms,2022-10-18T13:33:00.777254.json
100,12,Data Structures and Algorithms,2022-10-18T02:10:58.545907.json
80.0,10,Data Structures and Algorithms,2022-10-17T17:28:29.130905.json
80.0,5,Data Structures and Algorithms,2022-10-17T17:24:44.950447.json
100,2,Data Structures and Algorithms,2022-10-18T01:34:17.412062.json
100,40,Data Structures and Algorithms,2022-10-18T15:41:46.615563.json
66,3,Data Structures and Algorithms,2022-10-18T15:50:44.885757.json
100,2,Data Structures and Algorithms,2022-10-18T15:54:02.115082.json
75,20,Data Structures and Algorithms,2022-10-18T01:10:47.816954.json
100.0,5,Data Structures and Algorithms,2022-10-17T11:40:06.192896.json
96,25,Data Structures and Algorithms,2022-10-18T15:25:56.931599.json
100,1,Data Structures and Algorithms,2022-10-19T17:17:17.059100.json
94,35,Data Structures and Algorithms,2022-10-18T14:25:00.219078.json
95,21,Data Structures and Algorithms,2022-10-18T17:21:32.687591.json
96,25,Data Structures and Algorithms,2022-10-18T17:15:55.087483.json
66.66666666666666,3,Data Structures and Algorithms,2022-10-17T01:31:28.571694.json
100,1,Data Structures and Algorithms,2022-10-19T17:23:58.940231.json
100,3,Data Structures and Algorithms,2022-10-18T12:40:26.383707.json
100,2,Data Structures and Algorithms,2022-10-18T15:48:36.495590.json
100,2,Data Structures and Algorithms,2022-10-18T15:47:32.403243.json
95,20,Data Structures and Algorithms,2022-10-18T12:52:04.776565.json
85,100,Data Structures and Algorithms,2022-10-18T01:28:59.252342.json
70.0,20,Data Structures and Algorithms,2022-10-17T16:29:40.783968.json
88,26,Data Structures and Algorithms,2022-10-18T16:42:52.474430.json
100.0,5,Data Structures and Algorithms,2022-10-17T16:36:39.396477.json
100,2,Data Structures and Algorithms,2022-10-18T01:44:40.179158.json
80,30,Data Structures and Algorithms,2022-10-18T02:03:14.620791.json
80,5,Data Structures and Algorithms,2022-10-18T12:05:03.388697.json
86.0,50,Data Structures and Algorithms,2022-10-18T00:30:40.683832.json
85,40,Data Structures and Algorithms,2022-10-18T14:42:26.361250.json
75,25,Data Structures and Algorithms,2022-10-18T00:53:30.138015.json
50.0,10,Data Structures and Algorithms,2022-10-17T16:58:43.946071.json
100,10,Data Structures and Algorithms,2022-10-17T17:03:36.691602.json
100,2,Data Structures and Algorithms,2022-10-18T12:19:19.190314.json
100,2,Data Structures and Algorithms,2022-10-18T01:41:44.183943.json
86,43,Data Structures and Algorithms,2022-10-18T15:22:42.969852.json
90,20,Data Structures and Algorithms,2022-10-18T11:57:40.447025.json
100,11,Data Structures and Algorithms,2022-10-18T15:32:47.535574.json
100.0,2,Data Structures and Algorithms,2022-10-17T13:38:48.690363.json
100,3,Data Structures and Algorithms,2022-10-18T15:46:05.303358.json
91,22,Data Structures and Algorithms,2022-10-18T16:11:31.035600.json
75.0,20,Data Structures and Algorithms,2022-10-17T17:51:32.225796.json
95,20,Data Structures and Algorithms,2022-10-18T15:28:52.748974.json
96,21,Data Structures and Algorithms,2022-10-18T15:43:40.511013.json
100,2,Data Structures and Algorithms,2022-10-18T01:42:45.011950.json
100,20,Data Structures and Algorithms,2022-10-18T15:31:35.318941.json
75,32,Data Structures and Algorithms,2022-10-18T02:30:03.675639.json
93,27,Data Structures and Algorithms,2022-10-18T17:19:15.123584.json
100.0,2,Data Structures and Algorithms,2022-10-17T01:33:50.852819.json
100.0,5,Data Structures and Algorithms,2022-10-17T17:31:20.314758.json
0.0,2,Data Structures and Algorithms,2022-10-17T17:19:19.407098.json
100,2,Data Structures and Algorithms,2022-10-18T01:37:45.136761.json
100,2,Data Structures and Algorithms,2022-10-18T15:45:42.684710.json
96,25,Data Structures and Algorithms,2022-10-18T14:59:30.565380.json
100,10,Data Structures and Algorithms,2022-10-18T13:34:03.269386.json
100,3,Web Services,2022-10-19T17:39:11.190409.json
100,2,Data Structures and Algorithms,2022-10-19T17:41:55.282841.json
100,2,Data Structures and Algorithms,2022-10-19T17:43:41.666270.json
50,2,Web Services,2022-10-19T17:47:17.290332.json
